,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,417,5855,1078,5.4,23,10,332,316,527,3593,21,13,6.5,193,527,2262,18,4.3,101,112,936,38,199,34.7,11.1,Own 29.2,2:36,5.60,29.4,1.82
Opp. Stats,268,4578,993,4.6,33,12,257,289,509,2718,17,21,4.8,143,429,1860,9,4.3,91,112,1050,23,205,23.9,15.6,Own 28.7,2:14,5.0,22.2,1.24
Lg Rank Offense,5,6,,,19,19,7,,21,17,20,16,11,,1,1,2,9,,,,,,15,18,12,16,18,13,14
Lg Rank Defense,2,2,,,2,4,1,,4,1,3,2,1,,13,21,6,26,,,,,,32,3,16,1,1,1,1
