,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,365,5676,1089,5.2,16,10,352,346,520,3157,17,6,5.5,170,520,2519,21,4.8,150,106,827,32,177,37.3,7.3,Own 26.7,2:55,6.30,32.0,1.95
Opp. Stats,371,6089,1078,5.6,19,13,370,349,568,3638,21,6,6.0,200,469,2451,16,5.2,134,111,819,36,181,39.8,8.8,Own 29.1,2:48,6.1,33.2,1.99
Lg Rank Offense,15,18,,,2,20,7,,25,26,24,1,27,,8,4,4,5,,,,,,15,32,27,8,5,15,16
Lg Rank Defense,17,25,,,25,2,30,,17,14,9,31,12,,19,27,20,31,,,,,,8,26,26,16,26,24,18
