,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,332,4922,1010,4.9,24,6,292,348,557,3380,20,18,5.7,182,413,1542,11,3.7,83,75,629,27,179,31.8,13.4,Own 29.4,2:43,5.81,27.5,1.65
Opp. Stats,331,5625,1089,5.2,22,9,330,376,564,3610,21,13,5.9,187,479,2015,15,4.2,117,96,861,26,185,33.0,11.4,Own 26.2,2:53,6.0,30.4,1.77
Lg Rank Offense,23,27,,,20,4,28,,22,23,22,27,23,,27,30,20,28,,,,,,26,12,12,18,20,23,25
Lg Rank Defense,9,15,,,19,17,18,,12,12,10,17,11,,22,21,17,18,,,,,,22,18,1,27,23,17,11
