,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,349,5791,1054,5.5,22,8,342,320,520,3320,21,14,5.8,177,485,2471,20,5.1,138,112,1035,27,177,32.2,12.4,Own 28.4,2:57,6.08,32.6,1.89
Opp. Stats,371,5296,1056,5.0,19,6,327,367,576,3439,29,13,5.6,184,437,1857,13,4.2,108,98,882,35,182,37.4,9.9,Own 28.7,2:44,6.0,28.9,2.04
Lg Rank Offense,20,18,,,13,14,17,,28,27,20,14,22,,9,4,7,1,,,,,,25,14,20,8,15,16,20
Lg Rank Defense,13,5,,,21,26,8,,13,5,22,15,3,,13,12,7,12,,,,,,14,23,15,12,14,5,18
