,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,418,5768,1053,5.5,18,6,357,418,610,4240,35,12,6.5,221,399,1528,14,3.8,96,81,623,40,176,41.5,9.7,Own 30.7,2:56,6.15,32.7,2.36
Opp. Stats,322,5371,996,5.4,24,11,295,329,559,3665,17,13,6.2,173,407,1706,12,4.2,102,100,832,20,176,36.4,13.1,Own 28.0,2:35,5.9,30.6,1.77
Lg Rank Offense,7,8,,,7,5,5,,6,5,2,14,8,,24,29,19,29,,,,,,7,26,3,7,13,10,5
Lg Rank Defense,6,16,,,8,4,4,,24,23,4,18,18,,7,7,13,9,,,,,,15,9,10,2,13,14,9
