,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,333,4787,971,4.9,30,11,258,299,524,3165,18,19,5.6,157,410,1622,11,4.0,84,114,948,17,197,32.0,14.7,Own 30.7,2:22,5.15,24.2,1.57
Opp. Stats,441,6086,1061,5.7,20,7,343,367,582,4065,29,13,6.5,201,440,2021,16,4.6,104,95,817,38,202,39.1,9.9,Own 30.7,2:28,5.5,30.1,2.08
Lg Rank Offense,23,29,,,29,25,30,,22,25,26,29,28,,16,26,23,29,,,,,,24,6,4,30,30,31,29
Lg Rank Defense,29,25,,,16,19,24,,24,24,19,15,19,,22,26,21,19,,,,,,9,21,29,1,2,8,19
