,,,Tot Yds & TO,Tot Yds & TO,Tot Yds & TO,,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Rushing,Penalties,Penalties,Penalties,,,,Average Drive,Average Drive,Average Drive,Average Drive,Average Drive
Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,396,6648,1055,6.3,35,9,388,408,625,5125,36,26,7.7,265,389,1523,11,3.9,80,117,975,43,184,37.0,19.0,Own 26.2,2:39,5.89,36.0,2.15
Opp. Stats,464,6134,998,6.1,17,8,356,387,534,4151,34,9,7.3,209,426,1983,19,4.7,122,127,1156,25,182,40.7,8.2,Own 29.0,2:38,5.6,33.7,2.38
Lg Rank Offense,12,3,,,32,15,2,,4,1,3,32,2,,22,29,23,31,,,,,,17,1,30,20,14,5,10
Lg Rank Defense,31,27,,,22,16,27,,12,26,30,26,30,,18,24,29,20,,,,,,6,28,22,10,7,26,29
